s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.5111,0.8605,0.6,0.6,0.1739,0.8,2.125,0.1957,0.0,0,0.5333,0.5111,0.8605,0.6,0.6,0.0,0.8,1.0,0.1957,0.474,True,0.5333
0.2041,0.1944,0.35,0.8,3.2,1.1,0.1562,0.85,0.1824,1,-1.0673,0.0,0.1944,0.35,0.8,1.0,1.1,0.1562,1.0,0.2154,True,-1.0673
0.7,0.6471,0.7,0.75,0.1429,0.8889,3.125,0.2321,0.0,0,0.0,0.675,0.6471,0.7,0.75,0.1111,0.8889,4.1667,0.2407,0.1733,False,0.0
0.2264,0.4865,0.4,0.75,4.0833,1.0,0.102,0.7917,0.0,1,-0.0396,0.0189,0.4865,0.4,0.75,49.0,1.0,0.102,9.5,-0.0401,False,0.1504
0.5306,0.3,0.5,0.95,1.3077,1.0,0.1765,0.25,0.0,1,-0.0633,0.1429,0.3,0.5,0.95,4.8571,1.0,0.1765,0.9286,-0.0584,False,-0.0982
0.95,0.4,0.65,0.7,0.1316,1.25,1.25,0.0592,0.5247,0,-0.06,0.75,0.4,0.65,0.7,0.1667,1.25,1.25,0.075,0.7326,False,0.447
0.3478,0.5385,0.5,0.95,1.8333,1.5,0.1591,0.3958,0.005,1,-0.0565,0.0435,0.5385,0.5,0.95,14.6667,1.5,0.1591,3.1667,-0.0421,False,-0.0565
1.0,0.72,0.75,0.6,0.2373,1.0,0.8214,0.0763,0.9594,0,-0.0153,0.8983,0.72,0.75,0.6,0.2075,1.0,1.0455,0.0849,1.0,False,-0.0153
0.1818,0.0,0.4,0.95,15.5,1.2,0.0806,3.125,0.0,2,-1.3136,0.0,0.0,0.4,0.95,1.0,1.2,0.0806,1.0,-0.1668,True,-1.3136
0.2329,0.5333,0.5,0.7,1.0588,1.0,0.5833,0.3235,-0.0955,0,0.1123,0.2329,0.5333,0.5,0.7,0.8824,1.0,0.7,0.3235,0.1403,False,0.7057
0.3673,0.0,0.4,0.85,1.7778,1.2,0.1562,0.3611,0.1972,1,-0.049,0.0816,0.0,0.4,0.85,8.0,1.2,0.1562,1.625,0.2177,False,-0.049
0.1091,0.0588,0.25,0.95,5.1667,3.5,0.2258,2.0833,0.0,2,-0.0273,0.0182,0.0588,0.25,0.95,31.0,3.5,0.2258,12.5,0.0804,False,-0.0273
0.8077,0.6053,0.5,0.8,0.5079,1.0,0.3594,0.0714,-0.0427,0,-0.0308,0.7051,0.6053,0.5,0.8,0.5818,1.0,0.3594,0.0818,0.0858,False,-0.0582
0.3971,1.0,0.35,0.95,0.8889,1.4286,0.2917,0.2037,0.0,1,-0.0397,0.1324,1.0,0.35,0.95,2.6667,1.4286,0.2917,0.6111,0.0591,False,0.1503
0.2093,0.2,0.3,0.95,4.7778,1.125,0.1163,1.1667,0.0,2,-1.0698,0.0,0.2,0.3,0.95,1.0,1.125,0.1163,1.0,-0.0621,True,-1.0698
0.2264,0.5789,0.5,0.9,2.9167,1.4286,0.2,0.7083,0.0038,1,-1.1019,0.0,0.5789,0.5,0.9,1.0,1.4286,0.2,1.0,-0.032,True,-1.1019
0.6,0.72,0.55,0.95,1.2222,1.3,0.2121,0.3519,0.0,1,0.0133,0.4444,0.72,0.55,0.95,1.65,1.3,0.2121,0.475,0.154,False,-0.0395
0.1163,0.4444,0.45,0.8,6.0,1.0,0.1667,1.7,0.1225,2,0.0,0.1163,0.4444,0.45,0.8,6.0,1.0,0.1667,1.7,0.238,False,-1.0428
0.3385,0.5926,0.35,0.9,1.3636,1.125,0.1667,0.3409,0.1434,1,0.0338,0.3385,0.5926,0.35,0.9,1.3636,1.125,0.1667,0.3409,0.2961,False,0.0615
0.4118,1.0,0.4,0.95,2.1429,1.0,0.1556,0.4524,0.0,1,-0.0235,0.1961,1.0,0.4,0.95,4.5,1.0,0.1556,0.95,-0.0311,False,0.1665
0.7931,0.74,0.65,0.7,0.3261,0.875,0.8333,0.0978,0.4636,0,0.0517,0.7931,0.74,0.65,0.7,0.1087,0.875,2.5,0.0978,0.9651,False,0.0517
0.4878,0.6842,0.5,0.8,2.0,1.5,0.175,0.525,-0.0537,1,0.0341,0.439,0.6842,0.5,0.8,2.2222,1.5,0.175,0.5833,-0.0452,False,0.0341
0.2581,0.0769,0.6,0.95,1.9375,1.0,0.2258,0.6562,0.2224,1,-1.0871,0.0,0.0769,0.6,0.95,1.0,1.0,0.2258,1.0,0.2816,True,-1.0871
0.1463,0.15,0.55,0.95,6.0,1.1667,0.1667,1.4167,0.0,2,0.2,0.1463,0.15,0.55,0.95,6.0,1.1667,0.1667,1.4167,0.1047,True,0.2
0.1613,0.25,0.55,0.55,0.9,0.5,1.0556,0.45,0.3074,2,0.2,0.1613,0.25,0.55,0.55,0.9,0.5,1.0556,0.45,0.4347,True,0.2
0.0556,0.0,0.25,0.95,24.0,1.5,0.0972,3.1667,0.0,2,-1.1167,0.0,0.0,0.25,0.95,1.0,1.5,0.0972,1.0,-0.0733,True,-1.1167
0.8356,0.52,0.7,0.6,0.1311,1.0,1.5625,0.0738,0.6055,0,0.5534,0.8356,0.52,0.7,0.6,0.0,1.0,1.0,0.0738,1.0,True,0.5534
0.34,0.2727,0.35,0.9,1.9412,1.3333,0.1515,0.3824,-0.0418,1,-0.05,0.06,0.2727,0.35,0.9,11.0,1.3333,0.1515,2.1667,-0.0956,False,0.14
0.3469,0.0,0.25,0.95,2.6471,1.0,0.1556,0.5,0.05,1,-0.0388,0.102,0.0,0.25,0.95,9.0,1.0,0.1556,1.7,0.0786,False,-1.0877
0.9241,0.625,0.75,0.55,0.2055,1.2,0.7667,0.0616,0.5154,0,0.0266,0.9241,0.625,0.75,0.55,0.1096,1.2,1.4375,0.0616,0.9718,False,0.0378
0.2063,0.0,0.35,0.9,1.3077,2.5,0.3529,0.5769,0.3139,1,-1.0762,0.0,0.0,0.35,0.9,1.0,2.5,0.3529,1.0,0.3899,True,-1.0762
0.9538,0.5909,0.65,0.65,0.1935,1.1667,0.9583,0.0887,0.0,0,-0.0185,0.7231,0.5909,0.65,0.65,0.0213,1.1667,11.5,0.117,0.564,False,-0.0185
0.8571,0.6571,0.7,0.75,0.119,1.4,2.5,0.1071,0.5957,0,-0.0122,0.8163,0.6571,0.7,0.75,0.125,1.4,2.5,0.1125,0.8566,False,0.4803
0.1212,0.35,0.4,0.85,14.25,1.5,0.1053,2.125,-0.1045,2,0.2,0.1212,0.35,0.4,0.85,14.25,1.5,0.1053,2.125,-0.1363,True,0.2
0.3143,0.0,0.25,0.85,1.9091,1.0,0.2381,0.8636,0.301,1,-1.0943,0.0,0.0,0.25,0.85,1.0,1.0,0.2381,1.0,0.3829,True,-1.0943
1.0,0.6939,0.75,0.6,0.2537,1.0,0.7941,0.097,0.0,0,-0.0716,0.7463,0.6939,0.75,0.6,0.32,1.0,0.8438,0.13,0.2239,False,0.4043
0.2273,0.0455,0.35,0.95,11.0,1.5,0.1091,2.1,0.0,2,-1.2727,0.0,0.0455,0.35,0.95,1.0,1.5,0.1091,1.0,-0.1419,True,-1.2727
0.6119,0.1714,0.6,0.6,0.439,1.5,0.5833,0.1098,0.9048,0,0.0358,0.6119,0.1714,0.6,0.6,0.2439,1.5,1.05,0.1098,1.0,False,0.0358
0.2985,0.6552,0.4,0.8,3.35,1.0,0.1045,0.325,0.0,1,-0.0194,0.1343,0.6552,0.4,0.8,7.4444,1.0,0.1045,0.7222,-0.0493,False,0.0044
0.5893,0.6667,0.55,0.65,0.4848,0.8889,0.6562,0.197,0.6173,0,0.0804,0.5893,0.6667,0.55,0.65,0.0303,0.8889,10.5,0.197,1.0,False,0.0804
0.6721,0.881,0.65,0.7,0.1707,1.4,1.7857,0.061,0.0,0,0.1697,0.6557,0.881,0.65,0.7,0.05,1.4,6.25,0.0625,0.4189,False,0.7519
0.2727,0.375,0.45,0.95,2.8333,1.0,0.1471,0.625,0.0844,1,-0.0068,0.1591,0.375,0.45,0.95,4.8571,1.0,0.1471,1.0714,0.1484,False,-0.0068
0.6875,0.619,0.55,0.65,0.4545,1.2,0.46,0.0818,0.0,0,-0.0075,0.6625,0.619,0.55,0.65,0.4717,1.2,0.46,0.0849,0.0114,False,0.0389
0.55,0.7234,0.6,0.8,0.3636,2.0,0.7083,0.197,0.0,0,0.035,0.55,0.7234,0.6,0.8,0.1515,2.0,1.7,0.197,0.3956,False,-0.0457
0.7805,0.5,0.6,0.7,0.2188,1.25,1.6429,0.2031,0.5197,0,-0.0512,0.5854,0.5,0.6,0.7,0.25,1.25,1.9167,0.2708,0.8186,False,-0.0512
0.5581,0.8889,0.6,0.65,0.375,1.5,0.9444,0.1458,0.0,0,-0.0558,0.3721,0.8889,0.6,0.65,0.5625,1.5,0.9444,0.2188,0.1404,False,-1.1053
0.5106,0.381,0.7,0.6,0.375,0.3333,0.9444,0.1875,0.6206,0,0.0,0.5106,0.381,0.7,0.6,0.375,0.3333,0.9444,0.1875,0.7715,False,0.0
0.1707,0.6552,0.3,0.85,7.2857,1.0,0.1373,1.5,-0.0758,2,0.2,0.1707,0.6552,0.3,0.85,7.2857,1.0,0.1373,1.5,-0.0747,True,0.2
0.4821,0.8537,0.65,0.65,0.4074,0.6667,1.0455,0.0926,0.0,0,-0.0054,0.4643,0.8537,0.65,0.65,0.4231,0.6667,1.0455,0.0962,0.1712,False,-0.0054
0.0857,0.3529,0.5,0.75,1.0,1.2857,2.0833,0.75,-0.0085,2,0.0,0.0857,0.3529,0.5,0.75,1.0,1.2857,2.0833,0.75,0.2426,False,0.0
0.9516,1.0,0.55,0.55,0.6102,1.2,0.3194,0.0763,0.0,0,-0.0097,0.9194,1.0,0.55,0.55,0.6316,1.2,0.3194,0.0789,0.019,False,0.0296
0.5873,0.5,0.4,0.8,0.6757,1.25,0.24,0.2568,0.0992,1,0.0397,0.5238,0.5,0.4,0.8,0.7576,1.25,0.24,0.2879,0.2318,False,0.0994
0.2439,0.1176,0.45,0.95,4.6,2.3333,0.1087,0.95,0.0,2,0.2,0.2439,0.1176,0.45,0.95,4.6,2.3333,0.1087,0.95,0.0769,True,0.2
0.25,0.1111,0.5,0.95,7.6667,1.375,0.1304,1.5833,0.0,2,0.2,0.25,0.1111,0.5,0.95,7.6667,1.375,0.1304,1.5833,0.0394,True,0.2
0.0351,0.2,0.35,0.85,29.0,1.2222,0.1034,5.25,0.0,2,0.2,0.0351,0.2,0.35,0.85,29.0,1.2222,0.1034,5.25,-0.0331,True,0.2
0.4792,0.8333,0.6,0.5,1.0,0.75,0.5,0.1957,0.0,0,0.0438,0.4792,0.8333,0.6,0.5,0.6957,0.75,0.7188,0.1957,0.3504,False,0.061
0.2069,0.3478,0.5,0.9,1.5833,4.0,0.2632,0.7083,0.0,1,0.0207,0.2069,0.3478,0.5,0.9,1.5833,4.0,0.2632,0.7083,0.1354,False,-1.0177
0.9265,1.0,0.6,0.7,0.1746,1.0,0.8636,0.0873,0.0,0,-0.0265,0.8382,1.0,0.6,0.7,0.193,1.0,0.8636,0.0965,0.2097,False,-0.0896
0.2456,0.16,0.25,0.95,3.0,1.7143,0.1429,0.8214,0.0,2,-1.0737,0.0,0.16,0.25,0.95,1.0,1.7143,0.1429,1.0,-0.0431,True,-1.0737
0.0339,0.25,0.45,0.95,33.0,1.7143,0.0758,5.25,0.0,2,0.2,0.0339,0.25,0.45,0.95,33.0,1.7143,0.0758,5.25,0.0163,True,0.2
0.4103,0.725,0.4,0.9,2.875,1.0,0.1087,0.5312,0.0,1,-0.0513,0.1026,0.725,0.4,0.9,11.5,1.0,0.1087,2.125,-0.0593,False,-0.157
0.5636,0.92,0.55,0.65,0.4839,1.3333,0.5667,0.1452,0.0,0,-0.0709,0.3273,0.92,0.55,0.65,0.8333,1.3333,0.5667,0.25,0.053,False,-0.102
0.4394,0.5854,0.8,0.7,0.7586,1.0,0.6136,0.1207,0.0,0,0.05,0.4394,0.5854,0.8,0.7,0.3793,1.0,1.2273,0.1207,0.4421,False,0.4665
0.1373,0.25,0.35,0.95,6.4286,1.125,0.1333,1.0714,0.0669,2,-1.1235,0.0,0.25,0.35,0.95,1.0,1.125,0.1333,1.0,0.0665,True,-1.1235
0.2069,0.1429,0.45,0.95,7.6667,1.3333,0.1087,1.5833,0.0,2,-1.0621,0.0,0.1429,0.45,0.95,1.0,1.3333,0.1087,1.0,-0.0596,True,-1.0621
0.3898,0.1143,0.65,0.7,0.6522,0.875,0.5667,0.1957,0.7651,0,-0.0305,0.1864,0.1143,0.65,0.7,0.8182,0.875,0.9444,0.4091,1.0,False,0.0274
0.5342,0.6512,0.65,0.7,0.1282,1.0,2.9,0.1154,1.0,0,0.5288,0.4247,0.6512,0.65,0.7,0.0,1.0,1.0,0.1452,1.0,True,0.5288
0.0286,0.0333,0.4,0.95,39.0,2.25,0.1795,10.5,0.0,2,-1.06,0.0,0.0333,0.4,0.95,1.0,2.25,0.1795,1.0,0.0125,True,-1.06
0.3684,0.5,0.45,0.95,2.3333,1.0,0.1224,0.3571,0.0,1,-0.0316,0.1404,0.5,0.45,0.95,6.125,1.0,0.1224,0.9375,0.0418,False,0.1584
0.2642,0.0,0.4,0.8,4.1429,1.2222,0.0862,0.4643,-0.0595,1,-1.0792,0.0,0.0,0.4,0.8,1.0,1.2222,0.0862,1.0,-0.1491,True,-1.0792
0.2642,0.3333,0.3,0.85,3.4286,1.4286,0.1458,0.5357,-0.0872,1,-0.0302,0.0755,0.3333,0.3,0.85,12.0,1.4286,0.1458,1.875,-0.1336,False,0.1598
0.1884,0.0,0.5,0.85,4.1538,1.5,0.0926,0.7308,0.0395,2,-1.0826,0.0,0.0,0.5,0.85,1.0,1.5,0.0926,1.0,0.0203,True,-1.0826
0.3151,0.0,0.6,0.8,0.6957,1.1111,0.9062,0.1087,0.6857,0,0.187,0.3151,0.0,0.6,0.8,0.3043,1.1111,2.0714,0.1087,1.0,False,0.187
