s0,s1,s2,s3,s4,s5,s6,s7,s8,action,reward,ns0,ns1,ns2,ns3,ns4,ns5,ns6,ns7,ns8,done,ret
0.7143,0.48,0.4,0.75,1.0,1.2,0.3333,0.2167,0.5192,0,-0.0357,0.5952,0.48,0.4,0.75,1.2,1.2,0.3333,0.26,-0.1767,False,0.0175
0.1224,0.0,0.3,0.75,3.8333,0.875,0.3913,0.9167,-0.7076,2,0.0,0.1224,0.0,0.3,0.75,3.8333,0.875,0.3913,0.9167,-0.7256,False,-0.0116
0.8235,0.42,0.15,0.9,2.2143,3.0,0.0753,0.1786,-0.3003,1,0.0118,0.7255,0.42,0.15,0.9,2.5135,3.0,0.0753,0.2027,-0.3274,False,0.1137
0.6316,0.84,0.75,0.65,0.7778,0.5,0.3036,0.1528,0.0,0,-0.0789,0.3509,0.84,0.75,0.65,1.35,0.5,0.3148,0.275,0.5407,False,0.0346
0.5455,0.46,0.8,0.65,0.7222,1.4,1.2692,0.5278,0.0,2,0.0,0.5455,0.46,0.8,0.65,0.7222,1.4,1.2692,0.5278,-0.3002,True,0.0
0.8448,0.36,0.4,0.7,0.5102,0.7778,0.28,0.0918,-0.2889,1,-0.0302,0.6034,0.36,0.4,0.7,0.7143,0.7778,0.28,0.1286,-0.4613,False,-0.0015
0.4079,0.68,0.6,0.8,0.871,1.8889,0.5741,0.2742,-0.4993,0,-0.0316,0.1974,0.68,0.6,0.8,1.2667,1.8889,0.8158,0.5667,-0.1107,False,0.1414
0.9333,0.62,0.5,0.7,1.0952,1.0,0.1522,0.0595,0.0,0,0.0467,0.9333,0.62,0.5,0.7,0.9286,1.0,0.1795,0.0595,0.698,False,-0.0305
0.6739,0.88,0.25,0.65,0.5806,1.0,0.5,0.1774,0.0,1,0.0207,0.6304,0.88,0.25,0.65,0.6207,1.0,0.5,0.1897,-0.4701,False,0.1449
0.7234,0.5,0.35,0.75,0.5294,1.0,0.5,0.1618,-0.5628,0,-0.0574,0.5319,0.5,0.35,0.75,0.72,1.0,0.5,0.22,-0.6469,False,-0.0574
0.0571,0.16,0.45,0.75,3.5,0.8,1.1429,2.75,0.5205,2,-1.1543,0.0,0.16,0.45,0.75,1.0,0.8,1.1429,1.0,0.2949,True,-1.1543
0.4324,0.68,0.8,0.6,0.8125,0.5,1.1154,0.5938,0.0,0,-0.073,0.1892,0.68,0.8,0.6,1.8571,0.5,1.1154,1.3571,-0.6184,False,0.0767
0.15,0.0,0.3,0.75,7.1667,1.0,0.1395,0.5833,-0.4522,0,-1.0825,0.0,0.0,0.3,0.75,1.0,1.0,0.1395,1.0,-0.4853,True,-1.0825
0.9583,0.86,0.9,0.45,0.0435,1.1667,4.5,0.0507,0.0,0,0.525,0.9583,0.86,0.9,0.45,0.0,1.1667,1.0,0.0507,0.8601,True,0.525
0.8,0.44,0.8,0.55,0.125,1.0,2.4167,0.0938,0.0,0,0.56,0.75,0.44,0.8,0.55,0.0,1.0,1.0,0.1,0.8322,True,0.56
0.4167,0.58,0.5,0.6,1.15,0.7778,0.587,0.375,0.0,1,0.0208,0.4167,0.58,0.5,0.6,1.15,0.7778,0.587,0.375,-0.4101,False,0.0089
0.4898,0.1,0.4,0.75,2.125,0.875,0.1373,0.1875,-0.634,1,-0.0306,0.3061,0.1,0.4,0.75,3.4,0.875,0.1373,0.3,-0.6856,False,-0.0023
0.5652,0.2,0.5,0.85,0.5385,1.0,0.9643,0.1731,0.4217,1,-0.05,0.3043,0.2,0.5,0.85,1.0,1.0,0.9643,0.3214,0.218,False,-0.0433
0.2778,0.02,0.45,0.7,0.6,0.5,1.5,0.45,0.0643,1,-0.0361,0.1111,0.02,0.45,0.7,1.5,0.5,1.5,1.125,-0.0247,False,-0.0361
0.9254,0.98,0.75,0.4,0.0484,1.25,5.1667,0.0565,0.0,0,0.0,0.9254,0.98,0.75,0.4,0.0484,1.25,5.1667,0.0565,-0.0739,False,0.4716
0.6786,0.68,0.5,0.9,1.4211,6.0,0.25,0.2237,0.0,0,-0.0589,0.4821,0.68,0.5,0.9,2.0,6.0,0.25,0.3148,-0.5345,False,0.0123
0.7073,0.62,0.35,0.65,1.1034,2.0,0.3125,0.2241,0.5119,1,0.0354,0.7073,0.62,0.35,0.65,1.1034,2.0,0.3125,0.2241,-0.1275,False,-0.9998
0.0952,0.28,0.35,0.75,8.25,0.75,0.1818,0.875,-0.6741,2,0.2,0.0952,0.28,0.35,0.75,8.25,0.75,0.1818,0.875,-0.6805,True,0.2
0.5088,0.6,0.6,0.5,0.069,1.0,4.25,0.1552,-0.0792,0,0.0053,0.5088,0.6,0.6,0.5,0.0345,1.0,8.5,0.1552,0.1736,False,0.0294
0.625,0.66,0.3,0.75,1.0333,1.0,0.2258,0.0833,0.0025,2,0.0,0.625,0.66,0.3,0.75,1.0333,1.0,0.2258,0.0833,-0.2579,False,-0.0525
0.5522,0.82,0.65,0.8,0.4054,1.8889,0.9,0.2027,0.2374,0,0.5224,0.3731,0.82,0.65,0.8,0.0,1.8889,1.0,0.3,0.4702,True,0.5224
0.35,0.54,0.35,0.65,1.1429,0.3333,0.625,0.4643,-0.6651,1,0.0025,0.3,0.54,0.35,0.65,1.3333,0.3333,0.625,0.5417,-0.6975,False,0.0025
0.1026,0.52,0.55,0.8,9.75,0.75,0.1795,2.625,0.0,2,-1.1385,0.0,0.52,0.55,0.8,1.0,0.75,0.1795,1.0,-0.8182,True,-1.1385
0.44,0.2,0.55,0.75,0.3182,2.0,1.9286,0.1591,0.7841,0,0.542,0.42,0.2,0.55,0.75,0.0,2.0,1.0,0.1667,0.7821,True,0.542
0.6604,0.46,0.4,0.7,1.2,0.3333,0.1667,0.0714,0.0,0,0.0623,0.5849,0.46,0.4,0.7,0.871,0.3333,0.2593,0.0806,0.641,False,0.1504
0.525,0.88,0.65,0.75,1.0476,1.0,0.6136,0.2143,0.0,1,-0.0187,0.375,0.88,0.65,0.75,1.4667,1.0,0.6136,0.3,-0.5062,False,-0.0008
0.85,0.96,0.3,0.65,0.9706,3.0,0.2727,0.1618,0.0,0,0.0,0.85,0.96,0.3,0.65,0.9706,3.0,0.2727,0.1618,-0.5786,False,0.012
0.0541,0.68,0.6,0.95,48.0,2.0,0.0938,6.75,-0.7223,2,0.2,0.0541,0.68,0.6,0.95,48.0,2.0,0.0938,6.75,-0.6683,True,0.2
0.3429,0.86,0.55,0.8,1.75,0.8,0.4286,0.7083,-0.4547,2,0.0,0.3429,0.86,0.55,0.8,1.75,0.8,0.4286,0.7083,-0.4093,True,0.0
0.44,0.24,0.65,0.6,0.9091,1.1667,0.675,0.25,-0.3388,0,0.012,0.18,0.24,0.65,0.6,0.5556,1.1667,2.7,0.6111,0.1005,False,0.0205
0.0278,0.82,0.5,0.95,60.0,0.8,0.1,10.5,0.0,2,0.0,0.0278,0.82,0.5,0.95,60.0,0.8,0.1,10.5,-0.6518,False,-0.9816
